n_samples,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z
54,-2.32061076164245600,-0.66412216424942016,-0.65648853778839112,9.85932243652343680,0.09097966308593750,-0.43933600463867184
55,-2.36641216278076160,-0.67938929796218872,-0.62595421075820920,9.85932243652343680,0.08978256225585938,-0.43215339965820312
56,-2.35114502906799320,-0.67938929796218872,-0.66412216424942016,9.85932243652343680,0.09935936889648436,-0.43933600463867184
57,-2.33587789535522480,-0.66412216424942016,-0.68702292442321776,9.85932243652343680,0.08619125976562500,-0.43694180297851560
58,-2.36641216278076160,-0.67175573110580448,-0.65648853778839112,9.85932243652343680,0.09097966308593750,-0.43454760131835936
59,-2.35114502906799320,-0.66412216424942016,-0.67175573110580448,9.85932243652343680,0.09097966308593750,-0.44532150878906248
60,-2.36641216278076160,-0.67938929796218872,-0.66412216424942016,9.85932243652343680,0.09457096557617186,-0.43454760131835936
61,-2.35877871513366680,-0.67175573110580448,-0.67938929796218872,9.85932243652343680,0.09097966308593750,-0.43574470214843744
62,-2.35877871513366680,-0.68702292442321776,-0.66412216424942016,9.85932243652343680,0.09457096557617186,-0.42975919799804688
63,-2.34351134300231920,-0.67175573110580448,-0.66412216424942016,9.85932243652343680,0.09097966308593750,-0.43933600463867184
64,-2.37404584884643560,-0.66412216424942016,-0.66412216424942016,9.85932243652343680,0.09097966308593750,-0.43454760131835936
65,-2.38931298255920400,-0.68702292442321776,-0.67175573110580448,9.85932243652343680,0.08978256225585938,-0.43574470214843744
66,-2.37404584884643560,-0.67175573110580448,-0.65648853778839112,9.86411083984375040,0.09097966308593750,-0.44412440795898432
67,-2.35114502906799320,-0.67175573110580448,-0.64885497093200680,9.85453403320312480,0.09097966308593750,-0.42856209716796872
68,-2.37404584884643560,-0.67175573110580448,-0.68702292442321776,9.85932243652343680,0.09097966308593750,-0.43694180297851560
69,-2.38167929649353040,-0.69465649127960208,-0.65648853778839112,9.85453403320312480,0.08858546142578126,-0.43454760131835936
70,-2.38931298255920400,-0.67938929796218872,-0.67938929796218872,9.85932243652343680,0.08978256225585938,-0.43574470214843744
71,-2.37404584884643560,-0.67938929796218872,-0.65648853778839112,9.85932243652343680,0.09457096557617186,-0.43933600463867184
72,-2.35114502906799320,-0.68702292442321776,-0.65648853778839112,9.85932243652343680,0.08978256225585938,-0.42975919799804688
73,-2.38167929649353040,-0.67938929796218872,-0.65648853778839112,9.85932243652343680,0.09457096557617186,-0.43933600463867184
74,-2.35877871513366680,-0.67175573110580448,-0.65648853778839112,9.85932243652343680,0.08619125976562500,-0.42975919799804688
75,-2.35114502906799320,-0.67175573110580448,-0.65648853778839112,9.85932243652343680,0.09576806640625000,-0.43454760131835936
76,-2.37404584884643560,-0.67175573110580448,-0.63358777761459352,9.85932243652343680,0.09097966308593750,-0.44173020629882808
77,-2.38167929649353040,-0.67175573110580448,-0.65648853778839112,9.85932243652343680,0.08619125976562500,-0.43454760131835936
78,-2.36641216278076160,-0.67175573110580448,-0.65648853778839112,9.85932243652343680,0.08619125976562500,-0.43933600463867184
79,-2.36641216278076160,-0.67175573110580448,-0.67938929796218872,9.85453403320312480,0.08619125976562500,-0.43095629882812496
80,-2.37404584884643560,-0.67175573110580448,-0.65648853778839112,9.85453403320312480,0.09097966308593750,-0.43454760131835936
81,-2.37404584884643560,-0.67938929796218872,-0.63358777761459352,9.85932243652343680,0.09935936889648436,-0.44173020629882808
82,-2.37404584884643560,-0.67938929796218872,-0.65648853778839112,9.85453403320312480,0.08978256225585938,-0.42975919799804688
83,-2.37404584884643560,-0.67175573110580448,-0.65648853778839112,9.86411083984375040,0.09097966308593750,-0.44412440795898432
84,-2.39694666862487800,-0.67938929796218872,-0.68702292442321776,9.85932243652343680,0.09457096557617186,-0.42736499633789064
